date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024-05-10,745993,Groundout,field_out,True,665877,688107,José Fermín,Robert Gasser,0,02f76f36-1f9d-4a35-929b-c737e76057ba,688107.0,robertgasser,Gasser,Left,Robert Gasser,MIL,2.57,2.88,28.0,102.0,97.0,99.0,0.793,5.14,0.32,9.0,0.64,1.25,0.245,0.362,0.191,0.234,0.524,,,,82.0,105.0,94.0,125.0,101.0,111.0,,,,0.198,,0.321,,1.74,,1.12,,93.3,,80.6,,0.219,0.219,0.149,0.19,0.333,0.345,,,,,,,75.0,95.0,84.0,101.0,103.0,96.0,0.246,0.143,2.42,1.35,87.9,92.5,0.214,0.214,0.173,0.333,0.4,0.172,66.0,105.0,97.0,0.093,-6.75,88.4,0.6,0.9,0.2,,,,,,,,,,,,,,,
2024-05-10,745993,Groundout,field_out,True,665877,688107,José Fermín,Robert Gasser,0,07986e1b-b71d-412e-8468-4ddafaa58494,688107.0,robertgasser,Gasser,Left,Robert Gasser,MIL,2.57,2.88,28.0,102.0,97.0,99.0,0.793,5.14,0.32,9.0,0.64,1.25,0.245,0.362,0.191,0.234,0.524,,,,82.0,105.0,94.0,125.0,101.0,111.0,,,,0.198,,0.321,,1.74,,1.12,,93.3,,80.6,,0.219,0.219,0.149,0.19,0.333,0.345,,,,,,,75.0,95.0,84.0,101.0,103.0,96.0,0.246,0.143,2.42,1.35,87.9,92.5,0.214,0.214,0.173,0.333,0.4,0.172,66.0,105.0,97.0,0.093,-6.75,88.4,0.6,0.9,0.2,,,,,,,,,,,,,,,
2024-05-10,745993,Forceout,force_out,True,665877,643361,José Fermín,Kevin Herget,1,dde877a2-1c3a-41d9-bc96-97855120addc,643361.0,kevinherget,Herget,Right,Kevin Herget,MIL,2.08,5.4,8.2,98.0,98.0,97.0,0.759,7.27,3.12,4.15,1.04,1.0,0.087,0.261,0.13,0.435,0.443,,,,77.0,86.0,83.0,147.0,135.0,144.0,,,,0.435,,0.026,,3.1,,15.22,,93.1,,84.4,,0.091,0.091,0.292,,,,,,,,,,114.0,103.0,107.0,,,,,0.339,,1.63,82.6,,,,,0.167,0.25,0.35,111.0,112.0,107.0,0.2,0.07,87.1,0.2,0.8,0.125,,,,,,,,,,,,,,,
2024-05-31,745574,Lineout,field_out,True,665877,621237,José Fermín,José Alvarado,0,4c09bad9-8711-4bd0-a7da-59f807d87036,621237.0,josealvarado,Alvarado,Left,José Alvarado,PHI,4.35,3.64,39.1,95.0,88.0,95.0,0.755,9.38,3.89,7.32,0.69,1.35,0.292,0.406,0.189,0.311,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,94.0,95.0,0.597,,0.58,,,97.8,0.27,0.416,0.132,,,,69.0,97.0,94.0,0.403,1.06,92.6,0.14,0.158,0.432,,,,,,,,,,,,,,,
2024-06-01,745575,Strikeout,strikeout,True,665877,624133,José Fermín,Ranger Suárez,0,a3f64900-64e5-4777-ae2b-be2cea6a74a9,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,2.76,3.19,114.0,104.0,83.0,101.0,0.797,8.84,2.05,7.34,0.71,2.09,0.185,0.47,0.147,0.3,0.404,86.0,106.0,108.0,69.0,101.0,92.0,22.0,85.0,77.0,,,,0.19,,0.001,0.199,1.37,,-4.76,1.5,92.0,,81.3,74.5,0.208,0.299,0.184,,,,0.171,0.289,0.335,,,,75.0,104.0,103.0,87.0,106.0,103.0,0.319,0.166,1.26,0.71,80.3,90.9,0.241,0.354,0.109,0.181,0.25,0.393,102.0,98.0,94.0,0.125,-1.66,86.6,0.308,0.615,0.125,,,,,,,,,,,,,,,
2024-06-01,745575,Groundout,field_out,True,665877,614179,José Fermín,José Ruiz,0,bde0cc7e-421e-4ca2-8fb1-b8060359685e,614179.0,joseruiz,"Ruiz, J",Right,José Ruiz,PHI,5.08,4.3,28.1,101.0,104.0,101.0,0.742,7.94,2.22,10.8,1.91,1.77,0.233,0.467,0.078,0.367,0.424,119.0,105.0,104.0,104.0,98.0,101.0,131.0,79.0,84.0,,,,0.248,,0.047,0.426,-0.88,,-1.48,-2.08,96.3,,91.9,86.3,0.273,0.545,0.323,0.333,0.333,0.375,0.339,0.536,0.343,,,,94.0,86.0,93.0,75.0,100.0,96.0,0.242,0.038,1.67,-2.94,90.4,95.8,0.25,0.357,0.143,0.25,0.5,0.167,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-01,745575,Strikeout,strikeout,True,665877,605513,José Fermín,Spencer Turnbull,0,9e79ef5f-25c4-4363-95b5-297e4f0fc1ac,605513.0,spencerturnbull,Turnbull,Right,Spencer Turnbull,PHI,2.65,3.96,54.1,99.0,112.0,100.0,0.76,9.61,3.31,6.13,0.99,1.32,0.194,0.41,0.137,0.309,0.383,103.0,100.0,102.0,92.0,95.0,94.0,127.0,97.0,102.0,,,,0.348,,0.385,0.09,-0.45,,1.97,2.03,92.0,,83.9,78.8,0.28,0.453,0.162,0.071,0.071,0.406,0.067,0.067,0.594,,,,125.0,107.0,103.0,88.0,99.0,94.0,0.123,0.053,-1.62,1.38,87.7,93.2,0.238,0.667,0.089,0.0,0.0,0.167,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-02,745572,Forceout,force_out,True,665877,642397,José Fermín,Gregory Soto,1,facafaeb-c744-48ef-9a20-1414962c39ee,642397.0,gregorysoto,"Soto, G",Left,Gregory Soto,PHI,3.31,4.48,32.2,96.0,113.0,99.0,0.702,11.3,4.96,8.82,0.28,1.64,0.326,0.291,0.116,0.349,0.432,,,,96.0,89.0,80.0,117.0,96.0,104.0,,,,0.128,,0.451,,-3.7,,0.86,,98.1,,86.0,,0.417,0.417,0.333,0.222,0.222,0.294,,,,,,,,,,115.0,97.0,100.0,0.41,,0.19,,,97.5,0.311,0.444,0.121,,,,,,,0.012,0.36,91.8,,,,,,,,,,,,,,,,,,
2024-06-03,746382,Pop Out,field_out,True,665877,623352,José Fermín,Josh Hader,0,489dccd4-8ff3-49c0-b279-81c1bbc8e7fc,623352.0,joshhader,Hader,Left,Josh Hader,HOU,3.77,2.68,43.0,98.0,126.0,111.0,0.641,14.23,2.51,6.28,1.67,0.67,0.191,0.371,0.135,0.326,0.404,,,,,,,112.0,97.0,107.0,,,,,,0.264,,,,1.55,,,,86.2,,,,,0.149,0.277,0.549,,,,,,,110.0,70.0,51.0,133.0,99.0,115.0,0.721,0.015,0.94,-10.92,89.3,96.0,0.206,0.383,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-06,745174,Pop Out,field_out,True,665877,656222,José Fermín,Jalen Beeks,0,38fafe4f-2efd-46c1-9cd5-4d7c8cf1eece,656222.0,jalenbeeks,Beeks,Left,Jalen Beeks,COL,4.75,3.72,47.1,93.0,79.0,90.0,0.803,7.23,3.42,8.75,0.95,1.09,0.288,0.377,0.171,0.315,0.405,92.0,124.0,129.0,75.0,94.0,89.0,,,,,,,0.57,,,0.014,0.42,,,1.3,94.5,,,74.5,0.286,0.403,0.143,,,,0.2,0.2,0.167,,,,82.0,90.0,90.0,,,,0.002,0.255,-0.45,-0.52,89.0,89.3,,,,0.211,0.289,0.407,89.0,97.0,92.0,0.159,0.58,85.2,0.167,0.389,0.255,,,,,,,,,,,,,,,
2024-06-07,745169,Flyout,field_out,True,665877,596295,José Fermín,Austin Gomber,0,1b76a8a4-5dab-4da2-8d0d-433a0761d1cb,596295.0,austingomber,Gomber,Left,Austin Gomber,COL,4.61,4.79,99.2,103.0,79.0,97.0,0.828,6.05,2.26,9.48,1.63,1.05,0.222,0.434,0.142,0.351,0.428,,,,73.0,98.0,90.0,86.0,102.0,100.0,,,,0.412,,0.158,,-1.25,,-0.33,,90.4,,83.8,,0.312,0.567,0.093,0.274,0.532,0.162,0.188,0.337,0.266,,,,86.0,105.0,101.0,51.0,110.0,96.0,0.001,0.211,-43.05,-0.09,80.9,90.1,,,,0.274,0.369,0.275,,,,,,,,,,78.0,111.0,105.0,0.218,0.82,77.1,,,,,,,,,
2024-06-07,745169,Strikeout,strikeout,True,665877,596295,José Fermín,Austin Gomber,0,7e75211d-bc41-484a-95c5-90a03bb65035,596295.0,austingomber,Gomber,Left,Austin Gomber,COL,4.61,4.79,99.2,103.0,79.0,97.0,0.828,6.05,2.26,9.48,1.63,1.05,0.222,0.434,0.142,0.351,0.428,,,,73.0,98.0,90.0,86.0,102.0,100.0,,,,0.412,,0.158,,-1.25,,-0.33,,90.4,,83.8,,0.312,0.567,0.093,0.274,0.532,0.162,0.188,0.337,0.266,,,,86.0,105.0,101.0,51.0,110.0,96.0,0.001,0.211,-43.05,-0.09,80.9,90.1,,,,0.274,0.369,0.275,,,,,,,,,,78.0,111.0,105.0,0.218,0.82,77.1,,,,,,,,,
2024-06-08,745166,Groundout,field_out,True,665877,656222,José Fermín,Jalen Beeks,0,f122c236-ee09-4b93-84c3-215704675432,656222.0,jalenbeeks,Beeks,Left,Jalen Beeks,COL,4.75,3.72,47.1,93.0,79.0,90.0,0.803,7.23,3.42,8.75,0.95,1.09,0.288,0.377,0.171,0.315,0.405,92.0,124.0,129.0,75.0,94.0,89.0,,,,,,,0.57,,,0.014,0.42,,,1.3,94.5,,,74.5,0.286,0.403,0.143,,,,0.2,0.2,0.167,,,,82.0,90.0,90.0,,,,0.002,0.255,-0.45,-0.52,89.0,89.3,,,,0.211,0.289,0.407,89.0,97.0,92.0,0.159,0.58,85.2,0.167,0.389,0.255,,,,,,,,,,,,,,,
2024-06-11,745170,Lineout,field_out,True,665877,547973,José Fermín,Aroldis Chapman,0,8be8dbc5-860d-418f-94af-18820a90a6c2,547973.0,aroldischapman,Chapman,Left,Aroldis Chapman,PIT,4.15,4.02,34.2,92.0,132.0,101.0,0.704,14.54,8.31,6.23,1.04,0.87,0.304,0.348,0.188,0.304,0.424,,,,97.0,80.0,82.0,100.0,86.0,102.0,91.0,104.0,105.0,0.342,0.11,0.286,,-0.41,1.87,0.1,,97.5,91.3,86.6,,0.185,0.333,0.265,0.207,0.276,0.311,,,,0.136,0.182,0.514,,,,228.0,109.0,122.0,0.263,,-1.42,,,99.3,0.222,0.467,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-11,745170,Walk,walk,False,665877,670280,José Fermín,David Bednar,0,931f84b2-50df-436d-870f-3785edca1d3a,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,5.01,4.07,32.1,103.0,132.0,111.0,0.756,9.19,1.95,7.79,1.39,0.65,0.245,0.415,0.191,0.287,0.456,97.0,94.0,100.0,146.0,105.0,115.0,,,,125.0,107.0,112.0,0.597,0.196,,0.207,0.22,-0.81,,1.61,97.0,92.2,,77.0,0.256,0.439,0.244,,,,0.0,0.0,0.167,0.233,0.467,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13,745168,Single,single,False,665877,656605,José Fermín,Mitch Keller,1,b783ef78-5685-4e46-ab95-53b603722157,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.46,3.93,114.1,101.0,101.0,100.0,0.806,8.27,2.36,8.9,0.94,1.15,0.275,0.383,0.135,0.313,0.448,114.0,98.0,106.0,89.0,103.0,96.0,131.0,103.0,112.0,,,,0.297,,0.245,0.093,-0.08,,-0.49,0.77,94.6,,85.0,78.5,0.277,0.42,0.249,0.311,0.533,0.247,0.217,0.391,0.333,,,,104.0,105.0,101.0,84.0,102.0,96.0,0.224,0.01,0.17,-11.3,90.2,93.7,0.243,0.369,0.107,0.75,1.25,0.0,96.0,98.0,97.0,0.132,0.01,90.6,0.23,0.475,0.197,,,,,,,,,,,,,,,
2024-06-13,745168,Triple,triple,False,665877,656605,José Fermín,Mitch Keller,0,bd1a9308-4fb4-45aa-bcf1-0e9488ffa308,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.46,3.93,114.1,101.0,101.0,100.0,0.806,8.27,2.36,8.9,0.94,1.15,0.275,0.383,0.135,0.313,0.448,114.0,98.0,106.0,89.0,103.0,96.0,131.0,103.0,112.0,,,,0.297,,0.245,0.093,-0.08,,-0.49,0.77,94.6,,85.0,78.5,0.277,0.42,0.249,0.311,0.533,0.247,0.217,0.391,0.333,,,,104.0,105.0,101.0,84.0,102.0,96.0,0.224,0.01,0.17,-11.3,90.2,93.7,0.243,0.369,0.107,0.75,1.25,0.0,96.0,98.0,97.0,0.132,0.01,90.6,0.23,0.475,0.197,,,,,,,,,,,,,,,
2024-06-13,745168,Groundout,field_out,True,665877,656605,José Fermín,Mitch Keller,0,99de07e3-df43-465c-aaf6-96967dc66905,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.46,3.93,114.1,101.0,101.0,100.0,0.806,8.27,2.36,8.9,0.94,1.15,0.275,0.383,0.135,0.313,0.448,114.0,98.0,106.0,89.0,103.0,96.0,131.0,103.0,112.0,,,,0.297,,0.245,0.093,-0.08,,-0.49,0.77,94.6,,85.0,78.5,0.277,0.42,0.249,0.311,0.533,0.247,0.217,0.391,0.333,,,,104.0,105.0,101.0,84.0,102.0,96.0,0.224,0.01,0.17,-11.3,90.2,93.7,0.243,0.369,0.107,0.75,1.25,0.0,96.0,98.0,97.0,0.132,0.01,90.6,0.23,0.475,0.197,,,,,,,,,,,,,,,
2024-06-16,746866,Pop Out,field_out,True,665877,592767,José Fermín,Drew Smyly,0,44b8956b-a312-47ec-a76e-f13e47fc008f,592767.0,drewsmyly,Smyly,Left,Drew Smyly,CHC,3.09,3.44,35.0,101.0,95.0,102.0,0.766,8.23,4.11,7.97,1.29,0.69,0.26,0.42,0.2,0.26,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218,0.372,0.314,,,,,,,79.0,97.0,89.0,0.461,,0.62,,,92.7,0.26,0.42,0.165,,,,92.0,104.0,93.0,0.031,-5.44,88.8,0.333,0.333,0.333,110.0,105.0,114.0,0.507,-0.22,80.1,,,,,,,,,
