date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,SV_ba,SV_slg,SV_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff
2024-04-04,746327,Groundout,field_out,True,679845,647336,Nick Loftin,Michael Soroka,0,305b2a89-5a60-4148-a696-b7dc74633402,647336.0,michaelsoroka,Soroka,Right,Michael Soroka,CHW,5.23,4.92,72.1,95.0,95.0,94.0,0.792,8.83,5.23,7.96,1.62,0.99,0.268,0.478,0.176,0.298,0.402,112.0,84.0,92.0,,,,93.0,97.0,94.0,77.0,93.0,89.0,102.0,99.0,97.0,,,,0.229,0.306,,,0.36,,0.105,-0.14,,,-1.48,0.1,,-3.67,93.3,,,82.1,92.3,81.9,,0.206,0.382,0.177,0.289,0.518,0.08,,,,0.185,0.348,0.408,,,,,,,0.333,0.667,0.132,,,,,,,,,,,,,,,
2024-04-06,746329,Lineout,field_out,True,679845,623167,Nick Loftin,Chris Flexen,0,c77fa1dc-f283-4e76-bc33-be1d82edab8b,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,,0.076,0.117,0.146,-1.19,0.91,,2.95,-1.07,0.1,-1.45,91.3,87.3,,81.3,91.3,79.8,72.1,0.269,0.506,0.131,,,,0.282,0.462,0.289,0.258,0.387,0.286,,,,0.243,0.417,0.237,0.25,0.433,0.322,,,,,,,,,,,,,,,
2024-04-06,746329,Walk,walk,False,679845,623167,Nick Loftin,Chris Flexen,1,17b055dd-e9cb-4be2-b2bc-a44486fae784,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,,0.076,0.117,0.146,-1.19,0.91,,2.95,-1.07,0.1,-1.45,91.3,87.3,,81.3,91.3,79.8,72.1,0.269,0.506,0.131,,,,0.282,0.462,0.289,0.258,0.387,0.286,,,,0.243,0.417,0.237,0.25,0.433,0.322,,,,,,,,,,,,,,,
2024-04-06,746329,Walk,walk,False,679845,623167,Nick Loftin,Chris Flexen,0,22ac80d9-122a-4ef1-8424-9a294cf5b5c3,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,,0.076,0.117,0.146,-1.19,0.91,,2.95,-1.07,0.1,-1.45,91.3,87.3,,81.3,91.3,79.8,72.1,0.269,0.506,0.131,,,,0.282,0.462,0.289,0.258,0.387,0.286,,,,0.243,0.417,0.237,0.25,0.433,0.322,,,,,,,,,,,,,,,
2024-04-07,746330,Flyout,field_out,True,679845,676979,Nick Loftin,Garrett Crochet,0,aa5bafd3-7707-49ae-b672-cfcfa72209ed,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,,,,105.0,103.0,103.0,,,,138.0,99.0,103.0,92.0,107.0,104.0,,0.552,0.273,,0.114,,0.061,1.77,2.05,,,-2.87,,-0.38,97.0,91.4,,90.8,,84.1,,0.188,0.274,0.31,,,,,,,0.227,0.614,0.372,,,,0.213,0.283,0.351,0.179,0.321,0.279,,,,,,,,,,,,,,,
2024-04-07,746330,Field Error,field_error,False,679845,676979,Nick Loftin,Garrett Crochet,1,1f9436c7-9bcf-47f6-95d4-b5397ed877ed,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,,,,105.0,103.0,103.0,,,,138.0,99.0,103.0,92.0,107.0,104.0,,0.552,0.273,,0.114,,0.061,1.77,2.05,,,-2.87,,-0.38,97.0,91.4,,90.8,,84.1,,0.188,0.274,0.31,,,,,,,0.227,0.614,0.372,,,,0.213,0.283,0.351,0.179,0.321,0.279,,,,,,,,,,,,,,,
2024-04-10,746323,Flyout,field_out,True,679845,656786,Nick Loftin,Parker Mushinski,0,d9f452aa-7df4-405c-a171-c0d44e3db910,656786.0,parkermushinski,Mushinski,Left,Parker Mushinski,HOU,6.55,6.02,11.0,100.0,101.0,97.0,0.849,2.45,4.09,9.0,0.82,1.07,0.171,0.341,0.098,0.268,0.433,,,,122.0,107.0,111.0,75.0,91.0,81.0,81.0,98.0,88.0,117.0,117.0,119.0,102.0,96.0,94.0,0.093,0.186,0.412,,0.093,0.216,,0.74,-2.55,,5.71,-2.85,2.15,,92.0,88.0,,,91.1,80.4,81.3,0.125,0.25,0.3,0.0,0.0,0.0,0.125,0.125,0.267,0.5,0.5,0.333,,,,0.421,0.684,0.109,,,,,,,,,,,,,,,,,,
2024-04-11,746322,Single,single,False,679845,686613,Nick Loftin,Hunter Brown,1,84068c54-d3b3-4961-a1e6-b69bce4adc9f,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,88.0,102.0,105.0,,,,106.0,101.0,100.0,90.0,100.0,98.0,114.0,105.0,107.0,95.0,107.0,105.0,0.134,0.376,0.157,,0.071,,0.134,-0.55,0.16,,0.46,1.74,,1.13,95.7,92.3,,88.4,95.5,89.0,,0.272,0.483,0.287,0.268,0.304,0.172,0.28,0.5,0.281,0.192,0.192,0.25,,,,0.236,0.375,0.185,0.208,0.271,0.327,,,,,,,130.0,99.0,106.0,0.127,-1.93,82.4,,,
2024-04-11,746322,Flyout,field_out,True,679845,661527,Nick Loftin,Seth Martinez,0,e96ec03b-c57d-45d8-aeb6-7f386d30a5fa,661527.0,sethmartinez,"Martinez, S",Right,Seth Martinez,HOU,2.42,3.22,44.2,101.0,96.0,97.0,0.796,6.04,3.02,6.65,0.81,1.14,0.244,0.42,0.221,0.305,0.393,47.0,99.0,89.0,,,,73.0,100.0,94.0,103.0,103.0,93.0,135.0,100.0,108.0,,,,0.212,0.306,,,0.327,,0.155,1.96,,,2.47,0.1,,-0.57,90.9,,,84.9,89.8,79.2,,0.213,0.298,0.191,0.179,0.256,0.13,,,,0.191,0.426,0.337,,,,,,,0.259,0.37,0.292,,,,,,,,,,,,,,,
2024-04-11,746322,Groundout,field_out,True,679845,605463,Nick Loftin,Tayler Scott,0,45e71927-bf50-44b8-8415-c076291b467f,605463.0,taylerscott,"Scott, Tay",Right,Tayler Scott,HOU,1.36,2.99,46.1,99.0,98.0,99.0,0.745,8.35,4.27,4.86,0.39,1.67,0.231,0.41,0.214,0.231,0.372,60.0,103.0,101.0,,,,121.0,98.0,97.0,105.0,93.0,86.0,89.0,97.0,106.0,,,,0.073,0.433,,,0.262,,0.232,2.65,,,-0.27,0.86,,0.69,92.7,,,85.5,92.6,84.0,,0.089,0.107,0.287,0.375,0.375,0.211,,,,0.212,0.288,0.276,,,,,,,0.143,0.214,0.329,,,,,,,,,,,,,,,
2024-04-11,746322,Walk,walk,False,679845,650556,Nick Loftin,Bryan Abreu,0,0dc0d690-d9d9-4fa9-8d9e-18f55eb62bce,650556.0,bryanabreu,"Abreu, B",Right,Bryan Abreu,HOU,3.04,3.54,47.1,96.0,125.0,101.0,0.708,12.93,4.75,7.42,1.14,1.1,0.321,0.358,0.132,0.33,0.411,101.0,76.0,78.0,,,,125.0,95.0,97.0,,,,124.0,98.0,106.0,,,,,0.48,,,0.513,,0.007,-0.78,,,,1.09,,-4.48,96.6,,,89.9,,86.0,,0.271,0.482,0.244,,,,,,,0.18,0.236,0.402,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-13,745839,Single,single,False,679845,640455,Nick Loftin,Sean Manaea,1,b81ffd00-b904-4937-857b-5e18f58543ce,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,92.0,99.0,96.0,,,,78.0,102.0,99.0,82.0,100.0,97.0,89.0,87.0,92.0,83.0,88.0,85.0,0.397,0.1,0.119,,0.255,,0.128,0.32,0.62,,1.2,0.11,,-1.41,92.5,88.4,,85.6,92.5,80.2,,0.227,0.295,0.213,0.229,0.344,0.19,,,,0.143,0.429,0.328,,,,0.242,0.273,0.178,0.316,0.456,0.258,,,,,,,,,,,,,,,
2024-04-13,745839,Walk,walk,False,679845,640455,Nick Loftin,Sean Manaea,1,36db7804-d682-4217-a355-98e80335dd85,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,92.0,99.0,96.0,,,,78.0,102.0,99.0,82.0,100.0,97.0,89.0,87.0,92.0,83.0,88.0,85.0,0.397,0.1,0.119,,0.255,,0.128,0.32,0.62,,1.2,0.11,,-1.41,92.5,88.4,,85.6,92.5,80.2,,0.227,0.295,0.213,0.229,0.344,0.19,,,,0.143,0.429,0.328,,,,0.242,0.273,0.178,0.316,0.456,0.258,,,,,,,,,,,,,,,
2024-04-13,745839,Single,single,False,679845,640455,Nick Loftin,Sean Manaea,1,7e0fa14f-ef62-4299-b97a-d9cacd237a49,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,92.0,99.0,96.0,,,,78.0,102.0,99.0,82.0,100.0,97.0,89.0,87.0,92.0,83.0,88.0,85.0,0.397,0.1,0.119,,0.255,,0.128,0.32,0.62,,1.2,0.11,,-1.41,92.5,88.4,,85.6,92.5,80.2,,0.227,0.295,0.213,0.229,0.344,0.19,,,,0.143,0.429,0.328,,,,0.242,0.273,0.178,0.316,0.456,0.258,,,,,,,,,,,,,,,
2024-04-13,745839,Sac Fly,sac_fly,True,679845,642121,Nick Loftin,Cole Sulser,1,da465294-77d4-48b0-861f-8ad59cc962b4,642121.0,colesulser,Sulser,Right,Cole Sulser,NYM,9.64,2.77,4.2,99.0,100.0,93.0,0.711,13.5,5.79,11.57,1.93,0.5,0.385,0.308,0.154,0.462,0.415,131.0,87.0,85.0,,,,90.0,102.0,91.0,,,,107.0,101.0,105.0,95.0,98.0,99.0,,0.553,0.117,,0.17,,0.16,-1.33,5.41,,,2.48,,-17.38,91.9,87.5,,85.0,,81.7,,0.375,0.5,0.333,,,,,,,0.0,0.0,0.286,,,,,,,0.5,1.333,0.143,,,,,,,,,,,,,,,
2024-04-13,745839,Strikeout,strikeout,True,679845,518617,Nick Loftin,Jake Diekman,0,d6419b85-7d5e-45c7-ad0d-1631a5528f53,518617.0,jakediekman,Diekman,Left,Jake Diekman,NYM,5.53,4.33,27.2,90.0,132.0,95.0,0.752,10.73,7.16,6.18,1.63,1.83,0.294,0.309,0.191,0.265,0.417,84.0,88.0,83.0,,,,144.0,93.0,94.0,86.0,-132.0,-134.0,120.0,88.0,101.0,,,,0.002,0.601,,,0.304,,0.093,-0.22,,,-19.0,0.18,,-5.1,94.5,,,87.1,93.6,82.8,,0.197,0.426,0.265,,,,,,,0.115,0.269,0.354,,,,,,,0.364,0.727,0.286,,,,,,,,,,,,,,,
2024-04-14,745841,Groundout,field_out,True,679845,548384,Nick Loftin,Brooks Raley,0,0c5a9ab5-92f4-4e04-8c45-1ed4e253ca61,548384.0,brooksraley,"Raley, B",Left,Brooks Raley,NYM,0.0,3.1,7.0,108.0,104.0,113.0,0.796,11.57,3.86,2.57,0.0,0.5,0.462,0.308,0.385,0.308,0.412,100.0,102.0,109.0,,,,,,,78.0,112.0,107.0,116.0,114.0,126.0,99.0,94.0,88.0,0.092,,0.244,,0.479,,0.185,,-3.52,,2.74,5.47,,4.54,,85.7,,83.7,88.9,80.5,,,,,,,,,,,0.0,0.0,0.219,,,,0.5,1.0,0.0,0.167,0.167,0.545,,,,,,,,,,,,,,,
2024-04-15,746813,Strikeout,strikeout,True,679845,680897,Nick Loftin,Nick Nastrini,0,87bb180b-9408-45c0-ae67-476ca892b71e,680897.0,nicknastrini,Nastrini,Right,Nick Nastrini,CHW,8.39,7.1,24.2,84.0,102.0,86.0,0.728,6.93,9.12,8.76,2.19,0.76,0.208,0.468,0.221,0.299,0.373,90.0,76.0,77.0,97.0,77.0,83.0,102.0,81.0,80.0,,,,107.0,95.0,99.0,,,,,0.509,,,0.325,0.049,0.118,-1.45,,,,0.27,-5.84,-4.95,93.7,,,85.6,,84.7,78.9,0.195,0.488,0.205,,,,0.667,0.667,0.167,0.238,0.429,0.397,,,,,,,0.4,0.6,0.304,,,,,,,,,,,,,,,
2024-04-15,746813,Single,single,False,679845,680897,Nick Loftin,Nick Nastrini,0,2dfcf8ca-ff6a-46a5-aa6b-fbf49605e26f,680897.0,nicknastrini,Nastrini,Right,Nick Nastrini,CHW,8.39,7.1,24.2,84.0,102.0,86.0,0.728,6.93,9.12,8.76,2.19,0.76,0.208,0.468,0.221,0.299,0.373,90.0,76.0,77.0,97.0,77.0,83.0,102.0,81.0,80.0,,,,107.0,95.0,99.0,,,,,0.509,,,0.325,0.049,0.118,-1.45,,,,0.27,-5.84,-4.95,93.7,,,85.6,,84.7,78.9,0.195,0.488,0.205,,,,0.667,0.667,0.167,0.238,0.429,0.397,,,,,,,0.4,0.6,0.304,,,,,,,,,,,,,,,
2024-04-15,746813,Flyout,field_out,True,679845,608678,Nick Loftin,Dominic Leone,0,3159f877-a86a-45ff-9341-467c25e5de6c,608678.0,dominicleone,Leone,Right,Dominic Leone,CHW,7.04,5.61,15.1,95.0,106.0,94.0,0.603,8.8,6.46,8.8,2.35,1.43,0.295,0.455,0.205,0.273,0.324,121.0,95.0,94.0,,,,100.0,102.0,99.0,89.0,111.0,103.0,120.0,77.0,85.0,88.0,94.0,92.0,0.05,0.253,0.171,,0.246,,0.281,-0.93,-3.23,,-7.19,-0.96,,-0.4,94.7,90.6,,90.6,94.1,84.7,,0.267,0.533,0.351,0.333,0.833,0.0,,,,0.0,0.0,0.714,,,,0.25,1.0,0.45,0.222,0.278,0.486,,,,,,,,,,,,,,,
2024-04-15,746813,Flyout,field_out,True,679845,656629,Nick Loftin,Michael Kopech,0,7132e7c0-5cfd-4921-974a-f04c976437d6,656629.0,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.05,3.96,41.0,100.0,143.0,110.0,0.693,12.29,5.05,7.46,1.76,0.93,0.278,0.412,0.134,0.268,0.442,92.0,17.0,15.0,,,,153.0,99.0,111.0,,,,114.0,103.0,108.0,95.0,106.0,98.0,,0.795,0.107,,0.096,,0.001,0.09,0.67,,,-2.76,,-3.7,98.6,91.3,,73.5,,86.5,,0.22,0.422,0.322,,,,,,,0.28,0.4,0.297,,,,0.2,0.2,0.231,,,,,,,,,,,,,,,,,,
2024-04-17,746809,Strikeout,strikeout,True,679845,607200,Nick Loftin,Erick Fedde,0,75210b87-05c4-49f4-b1c2-14167342147e,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,78.0,104.0,97.0,0.306,0.001,0.299,,0.198,,0.196,-1.85,1.18,,0.74,0.47,,0.17,94.1,90.1,,87.9,93.2,83.7,,,,,0.246,0.358,0.203,,,,0.184,0.382,0.26,,,,0.242,0.387,0.258,0.216,0.295,0.142,,,,,,,,,,,,,,,
2024-04-17,746809,Flyout,field_out,True,679845,607200,Nick Loftin,Erick Fedde,0,afa17d1e-fb4b-4919-835d-7c05ccba4c3c,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,78.0,104.0,97.0,0.306,0.001,0.299,,0.198,,0.196,-1.85,1.18,,0.74,0.47,,0.17,94.1,90.1,,87.9,93.2,83.7,,,,,0.246,0.358,0.203,,,,0.184,0.382,0.26,,,,0.242,0.387,0.258,0.216,0.295,0.142,,,,,,,,,,,,,,,
2024-04-17,746809,Single,single,False,679845,621383,Nick Loftin,Tanner Banks,0,c7ed4253-a771-4226-bdea-b61eeb3fe7eb,621383.0,tannerbanks,Banks,Left,Tanner Banks,CHW,4.33,3.29,43.2,103.0,97.0,101.0,0.746,9.89,2.27,8.86,1.03,1.31,0.293,0.325,0.171,0.293,0.419,85.0,96.0,96.0,119.0,108.0,107.0,86.0,112.0,110.0,80.0,108.0,97.0,107.0,93.0,92.0,,,,0.067,0.298,,,0.325,0.149,0.16,0.64,,,0.94,-0.8,1.52,-2.05,93.5,,,86.1,92.0,88.0,82.2,0.226,0.358,0.279,0.273,0.273,0.444,0.154,0.192,0.347,0.326,0.5,0.213,,,,,,,0.29,0.516,0.185,,,,,,,,,,,,,,,
