date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,FO%,wFO/C,vFO
2024/05/25,7:10 PM.,COL,PHI,away,Overcast.,68,641712,LF,1,0,0,0,0,0,0,0,1,0,1,.303,.343,.727,1.070,641712,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,6.17,6.01,89.0,95.0,84.0,91.0,0.832,4.96,5.06,10.01,1.11,1.77,0.213,0.423,0.147,0.367,0.416,103.0,97.0,100.0,64.0,89.0,76.0,99.0,96.0,97.0,,,,0.153,,0.244,0.172,-2.2,,-0.31,0.48,89.9,,84.1,80.3,0.302,0.509,0.079,0.289,0.361,0.318,,,,0.13,0.217,0.33,71.0,96.0,86.0,0.327,-0.07,90.4,0.306,0.448,0.076,84.0,94.0,93.0,,,,0.005,0.1,-18.69,-4.94,86.9,83.5,,,,0.379,0.69,0.146,,,,,,,,,
2024/05/24,6:41 PM.,COL,PHI,away,Cloudy.,70,621389,2B,1,0,1,0,0,0,0,0,0,0,0,.313,.333,.750,1.083,621389,tyblach,Blach,Left,Ty Blach,COL,6.94,7.32,71.1,101.0,71.0,88.0,0.875,4.54,2.27,13.0,2.14,1.17,0.248,0.374,0.104,0.356,0.463,38.0,90.0,88.0,92.0,82.0,73.0,,,,,,,0.345,,0.001,0.109,-1.64,,-3.5,-1.07,89.1,,85.0,79.2,0.371,0.571,0.072,,,,,,,0.2,0.36,0.176,58.0,109.0,91.0,0.162,-5.1,89.3,0.426,0.936,0.124,71.0,99.0,87.0,77.0,107.0,88.0,0.137,0.245,-0.5,-2.05,82.9,80.0,,,,0.342,0.507,0.208,0.275,0.51,0.209,,,,,,
2024/05/21,6:41 PM.,TEX,PHI,home,Partly Cloudy.,81,592351,2B,3,0,0,0,0,0,0,0,0,3,1,.290,.313,.742,1.055,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.47,4.65,102.2,103.0,85.0,98.0,0.777,7.54,2.45,9.38,0.96,0.98,0.228,0.412,0.145,0.366,0.457,97.0,97.0,102.0,73.0,103.0,91.0,97.0,105.0,105.0,,,,0.444,,0.439,0.046,-0.71,,0.77,-0.7,94.9,,88.6,78.9,0.311,0.443,0.15,0.213,0.344,0.334,,,,0.333,0.333,0.267,,,,,,,,,,72.0,100.0,94.0,,,,,0.071,,-1.39,,88.7,,,,0.257,0.543,0.19,,,,,,,,,
2024/05/19,1:35 PM.,WSH,PHI,home,Sunny.,74,592866,2B,5,2,2,2,0,0,2,0,0,1,2,.321,.345,.821,1.166,592866,trevorwilliams,Williams,Right,Trevor Williams,WSN,2.03,3.17,66.2,104.0,81.0,94.0,0.796,7.97,2.43,6.89,0.41,1.17,0.279,0.41,0.148,0.311,0.382,,,,63.0,110.0,96.0,100.0,99.0,93.0,,,,0.364,,0.347,,2.46,,0.78,,88.9,,78.7,,0.196,0.271,0.178,0.296,0.407,0.059,,,,,,,90.0,101.0,94.0,0.121,1.1,87.7,0.261,0.391,0.214,70.0,102.0,91.0,,,,,0.168,,-0.36,,82.8,,,,0.25,0.341,0.225,,,,0.135,0.162,0.459,,,
2024/05/18,6:31 PM.,WSH,PHI,home,Rain.,63,669022,2B,2,1,2,0,0,1,1,0,0,0,0,.304,.333,.826,1.159,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,3.9,4.2,166.1,98.0,110.0,101.0,0.752,9.79,3.52,9.25,0.81,1.11,0.26,0.376,0.156,0.3,0.433,104.0,104.0,102.0,124.0,98.0,103.0,89.0,92.0,92.0,,,,0.553,,0.158,0.196,-0.02,,-0.77,0.62,96.0,,90.6,82.8,0.281,0.418,0.226,0.255,0.422,0.323,,,,0.218,0.296,0.34,,,,,,,,,,92.0,91.0,94.0,,,,,0.093,,-1.35,,85.9,,,,0.28,0.48,0.512,,,,0.333,0.5,0.417,,,
2024/05/16,6:41 PM.,NYM,PHI,home,Cloudy.,66,500779,2B,2,0,0,0,0,0,0,0,1,2,1,.238,.273,.667,.940,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,110.0,100.0,99.0,70.0,92.0,85.0,,,,,,,0.225,,,0.278,-0.32,,,-0.04,90.7,,,77.7,0.227,0.427,0.169,,,,,,,0.265,0.444,0.264,76.0,97.0,91.0,0.304,0.82,90.8,0.249,0.431,0.131,70.0,100.0,97.0,,,,,0.193,,0.5,,85.7,0.195,0.366,0.284,0.203,0.26,0.367,,,,,,,,,
2024/05/14,1:11 PM.,NYM,PHI,away,Cloudy.,71,676130,2B,4,0,0,0,0,0,0,0,0,1,3,.263,.263,.737,1.000,676130,josebutto,Buttó,Right,José Buttó,NYM,2.55,3.44,74.0,91.0,94.0,90.0,0.703,9.61,4.62,4.99,0.73,1.01,0.244,0.401,0.14,0.308,0.311,,,,107.0,93.0,94.0,100.0,88.0,94.0,,,,0.315,,0.235,,2.14,,1.14,,94.2,,84.0,,0.157,0.2,0.319,0.192,0.346,0.426,,,,,,,83.0,81.0,79.0,0.23,1.41,93.5,0.179,0.304,0.161,79.0,95.0,86.0,,,,,0.22,,0.06,,87.1,,,,0.156,0.312,0.426,,,,0.176,0.235,0.262,,,
2024/05/13,7:11 PM.,NYM,PHI,away,Partly Cloudy.,61,640455,2B,2,1,1,0,0,0,0,0,0,1,1,.333,.333,.933,1.266,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,,,,88.0,103.0,99.0,88.0,88.0,93.0,,,,0.113,,0.251,,1.13,,0.37,,92.3,,79.5,,0.167,0.295,0.311,0.174,0.435,0.32,,,,,,,95.0,100.0,97.0,0.447,1.36,92.3,0.201,0.333,0.21,83.0,98.0,95.0,84.0,88.0,85.0,0.071,0.118,0.97,-1.19,88.4,85.3,,,,0.25,0.438,0.254,0.222,0.25,0.179,0.193,0.311,0.388,,,
2024/05/12,1:41 PM.,MIA,PHI,away,Roof Closed.,72,666129,1B,1,0,0,0,0,0,0,0,0,0,3,.308,.308,1.000,1.308,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,5.35,4.43,37.0,100.0,88.0,96.0,0.802,8.27,0.97,9.73,1.22,1.71,0.186,0.508,0.178,0.373,0.42,74.0,106.0,101.0,57.0,103.0,94.0,121.0,95.0,100.0,,,,0.141,,0.265,0.044,0.36,,-0.3,-1.66,90.7,,82.8,77.4,0.263,0.316,0.219,0.211,0.316,0.286,,,,0.4,1.0,0.154,85.0,101.0,93.0,0.333,0.95,90.0,0.226,0.34,0.136,59.0,101.0,97.0,98.0,105.0,95.0,0.092,0.124,1.99,-6.31,86.4,83.1,,,,0.4,0.75,0.304,0.313,0.438,0.161,,,,,,
2024/05/10,7:10 PM.,MIA,PHI,away,Roof Closed.,72,669432,DH,1,0,0,0,0,0,0,0,0,0,1,.333,.333,1.083,1.416,669432,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.18,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.358,0.392,,,,66.0,101.0,93.0,74.0,93.0,91.0,,,,0.317,,0.206,,-0.26,,-1.99,,91.9,,82.4,,0.252,0.467,0.234,0.312,0.506,0.259,,,,,,,86.0,97.0,92.0,0.24,-0.36,91.5,0.292,0.492,0.1,111.0,108.0,115.0,,,,,0.238,,-1.32,,85.6,,,,0.295,0.396,0.238,,,,,,,,,
2024/05/08,1:07 PM.,TOR,PHI,home,Partly Cloudy.,82,605135,2B,2,0,0,0,0,0,0,0,0,1,3,.364,.364,1.182,1.546,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.16,4.52,171.0,98.0,94.0,96.0,0.805,8.84,3.68,9.47,0.95,1.14,0.27,0.365,0.177,0.331,0.437,101.0,91.0,102.0,64.0,103.0,94.0,120.0,96.0,106.0,87.0,90.0,86.0,0.045,0.043,0.118,0.137,-1.6,-2.64,-0.88,-0.09,92.6,84.1,77.2,71.0,0.242,0.394,0.25,0.375,0.781,0.096,0.303,0.364,0.167,0.221,0.351,0.292,96.0,101.0,97.0,0.407,-0.08,92.5,0.327,0.423,0.128,75.0,87.0,84.0,79.0,101.0,91.0,0.197,0.053,0.44,-2.29,89.6,84.5,,,,0.321,0.607,0.158,0.188,0.316,0.268,0.154,0.231,0.458,,,
2024/05/07,6:42 PM.,TOR,PHI,home,Partly Cloudy.,78,621244,3B,4,2,2,0,1,1,4,0,0,0,0,.444,.444,1.444,1.888,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.6,4.74,192.1,103.0,92.0,99.0,0.808,7.16,2.53,7.86,1.45,1.17,0.257,0.421,0.15,0.352,0.414,111.0,102.0,106.0,82.0,99.0,92.0,,,,,,,0.183,,,0.286,-1.26,,,0.28,94.1,,,83.2,0.305,0.558,0.189,,,,,,,,,,85.0,103.0,95.0,0.337,1.02,93.4,0.268,0.366,0.125,86.0,104.0,101.0,84.0,108.0,99.0,0.035,0.16,-1.83,0.88,91.4,84.8,0.188,0.404,0.31,0.171,0.364,0.269,0.36,0.48,0.123,,,,,,
2024/05/04,7:15 PM.,SF,PHI,home,Rain.,51,676775,1B,1,0,0,0,0,0,0,0,0,0,0,.400,.400,1.200,1.600,676775,keatonwinn,"Winn, K",Right,Keaton Winn,SFG,7.16,5.56,55.1,98.0,112.0,103.0,0.772,7.81,3.25,9.11,1.46,1.67,0.176,0.485,0.079,0.436,0.455,,,,89.0,101.0,95.0,127.0,98.0,106.0,131.0,97.0,113.0,0.263,0.405,0.139,,-0.92,0.24,-1.39,,95.7,88.9,87.9,,0.214,0.5,0.272,0.321,0.607,0.356,0.215,0.355,0.282,,,,91.0,97.0,93.0,0.192,-2.92,94.8,0.41,0.692,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/22,6:41 PM.,CIN,PHI,away,Clear.,63,668881,1B,4,1,2,1,0,1,3,0,0,1,1,.500,.500,1.500,2.000,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.75,3.03,150.1,99.0,124.0,104.0,0.741,10.12,3.41,5.75,0.72,0.7,0.284,0.388,0.199,0.265,0.429,118.0,96.0,101.0,123.0,102.0,104.0,125.0,96.0,103.0,120.0,89.0,103.0,0.552,0.083,0.346,0.018,1.56,-0.79,0.62,-2.87,97.6,87.0,86.8,80.9,0.184,0.273,0.248,0.161,0.3,0.39,0.243,0.405,0.284,0.4,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
