date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,FS%,wFS/C,vFS,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2023/08/27,1:37 PM.,CLE,TOR,home,Sunny.,68,592789,SS,1,0,0,0,0,0,0,0,0,0,1,.213,.286,.290,.576,592789,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,- - -,6.5,6.48,88.2,104.0,80.0,99.0,0.834,5.68,1.93,10.56,2.23,0.94,0.203,0.438,0.147,0.363,0.468,72.0,104.0,100.0,95.0,104.0,107.0,65.0,109.0,95.0,87.0,102.0,96.0,85.0,103.0,98.0,0.261,0.181,0.126,0.141,0.222,0.68,-0.49,-1.16,-0.93,-2.71,92.2,89.5,87.3,92.3,77.9,0.363,0.593,0.138,0.286,0.571,0.218,0.233,0.512,0.22,0.208,0.354,0.182,0.333,0.489,0.18899999999999997,88.0,99.0,97.0,0.067,-2.33,85.0,0.24,0.72,0.083,0.003,1.25,87.7,,,,,,,43.0,87.0,84.0,,,,,,
2023/08/26,3:07 PM.,CLE,TOR,home,Roof Closed.,68,671106,SS,3,0,0,0,0,0,1,0,0,1,4,.214,.287,.291,.578,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,60.0,104.0,105.0,,,,82.0,101.0,95.0,,,,110.0,97.0,98.0,,0.451,0.089,,0.213,-0.12,-2.1,,,1.49,91.4,86.3,82.7,,,,,,0.191,0.223,0.33,,,,0.257,0.482,0.177,0.462,0.692,0.17,108.0,98.0,101.0,0.247,-0.74,79.3,0.3,0.3,0.368,,,,,,,,,,,,,,,,,,
2023/08/20,1:42 PM.,CIN,TOR,away,Sunny.,89,668881,SS,0,0,0,0,0,0,0,0,0,0,0,.218,.293,.296,.589,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.241,0.407,0.128,0.345,0.42,69.0,88.0,90.0,,,,127.0,103.0,105.0,,,,,,,,0.544,,,0.053,-0.95,,,,-2.39,98.3,,91.1,,,,,,0.304,0.478,0.242,,,,0.265,0.518,0.252,,,,126.0,104.0,112.0,0.404,0.16,87.3,0.229,0.416,0.392,,,,,,,,,,,,,,,,,,
2023/08/19,6:41 PM.,CIN,TOR,away,Clear.,83,682227,2B,3,1,1,0,0,0,0,0,1,0,0,.218,.293,.296,.589,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,98.0,96.0,103.0,64.0,99.0,86.0,,,,106.0,102.0,98.0,,0.372,0.298,0.064,0.165,-0.15,1.71,,-1.75,-0.51,92.8,89.3,84.0,,73.1,,,,0.183,0.39,0.39899999999999997,0.333,0.6,0.14300000000000002,0.269,0.433,0.171,0.252,0.433,0.185,132.0,104.0,113.0,0.102,-1.33,81.7,0.0,0.0,0.273,,,,,,,,,,,,,,,,,,
2023/08/18,6:42 PM.,CIN,TOR,away,Partly Cloudy.,77,664028,SS,3,0,0,0,0,0,0,0,0,0,1,.216,.289,.295,.584,664028,brettkennedy,"Kennedy, B",Right,Brett Kennedy,CIN,6.5,4.9,18.0,94.0,79.0,86.0,0.836,4.5,3.5,9.5,0.5,0.96,0.297,0.391,0.094,0.328,0.423,77.0,100.0,99.0,,,,79.0,95.0,84.0,77.0,86.0,73.0,,,,0.148,0.516,,,0.281,0.86,,-5.98,,-1.37,92.9,,83.6,91.9,,0.455,0.636,0.053,0.308,0.462,0.20800000000000002,,,,0.188,0.438,0.20600000000000002,,,,92.0,81.0,83.0,0.055,-1.89,83.8,,,,,,,,,,,,,,,,,,,,,
2023/08/16,7:09 PM.,PHI,TOR,home,Partly Cloudy.,79,605400,3B,4,0,0,0,0,0,0,0,0,1,2,.220,.293,.301,.594,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,4.46,3.71,193.2,107.0,101.0,106.0,0.76,9.39,2.09,8.27,1.49,1.13,0.215,0.477,0.156,0.323,0.419,70.0,111.0,103.0,,,,95.0,107.0,103.0,100.0,107.0,101.0,111.0,110.0,105.0,0.188,0.295,0.075,,0.126,-0.03,0.4,0.46,,0.14,92.7,86.3,85.9,91.8,,0.279,0.416,0.106,0.22,0.319,0.319,0.221,0.398,0.33299999999999996,0.246,0.503,0.217,0.246,0.508,0.301,,,,,,,,,,,,,118.0,105.0,113.0,0.316,0.47,79.4,,,,,,,,,
2023/08/15,7:07 PM.,PHI,TOR,home,Roof Closed.,68,554430,SS,3,0,0,0,0,0,0,0,0,1,0,.225,.299,.308,.607,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,116.0,105.0,114.0,112.0,109.0,114.0,105.0,105.0,107.0,96.0,102.0,102.0,0.18,0.435,0.144,0.115,0.004,1.69,-0.63,1.62,-1.61,-6.22,95.8,90.9,90.8,95.2,81.4,0.252,0.308,0.192,,,,0.264,0.473,0.33,0.199,0.333,0.314,0.27,0.426,0.228,107.0,101.0,111.0,0.123,0.36,84.4,0.198,0.36,0.392,,,,,,,,,,,,,,,,,,
2023/08/13,1:39 PM.,CHC,TOR,home,Partly Cloudy.,75,592791,3B,5,1,1,0,0,0,1,0,0,1,3,.229,.304,.313,.617,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.437,82.0,94.0,98.0,109.0,111.0,113.0,87.0,104.0,97.0,97.0,107.0,97.0,101.0,102.0,99.0,0.102,0.342,0.222,0.149,0.031,-0.69,-0.32,0.9,-0.12,-0.22,93.7,88.6,86.5,93.9,80.5,0.296,0.394,0.133,0.28,0.44,0.106,0.198,0.349,0.2,0.261,0.553,0.204,0.311,0.521,0.27399999999999997,117.0,113.0,122.0,0.154,0.75,80.9,0.233,0.333,0.27399999999999997,,,,,,,,,,,,,,,,,,
2023/08/12,3:51 PM.,CHC,TOR,home,Partly Cloudy.,77,657006,SS,3,1,2,1,0,0,1,0,0,0,1,.230,.307,.317,.624,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,87.0,98.0,109.0,88.0,102.0,98.0,45.0,95.0,88.0,,,,0.018,0.626,,0.006,0.01,0.67,,0.89,2.44,-1.94,91.8,,87.5,92.2,80.7,0.25,0.333,0.16699999999999998,0.4,0.4,0.1,0.0,0.0,0.33299999999999996,0.275,0.393,0.203,,,,123.0,104.0,111.0,0.339,0.54,83.3,0.217,0.346,0.311,,,,,,,,,,,,,,,,,,
2023/08/10,1:10 PM.,CLE,TOR,away,Sunny.,75,592789,SS,2,0,1,0,0,0,1,0,0,0,0,.222,.301,.304,.605,592789,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,- - -,6.5,6.48,88.2,104.0,80.0,99.0,0.834,5.68,1.93,10.56,2.23,0.94,0.203,0.438,0.147,0.363,0.468,72.0,104.0,100.0,95.0,104.0,107.0,65.0,109.0,95.0,87.0,102.0,96.0,85.0,103.0,98.0,0.261,0.181,0.126,0.141,0.222,0.68,-0.49,-1.16,-0.93,-2.71,92.2,89.5,87.3,92.3,77.9,0.363,0.593,0.138,0.286,0.571,0.218,0.233,0.512,0.22,0.208,0.354,0.182,0.333,0.489,0.18899999999999997,88.0,99.0,97.0,0.067,-2.33,85.0,0.24,0.72,0.083,0.003,1.25,87.7,,,,,,,43.0,87.0,84.0,,,,,,
2023/08/08,7:11 PM.,CLE,TOR,away,Clear.,78,676440,3B,2,0,0,0,0,0,0,0,0,1,0,.218,.299,.301,.600,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.383,0.168,0.302,0.427,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,,,,,,,,0.471,,0.093,0.166,0.6,,,-1.11,1.07,94.9,,83.8,,78.3,,,,0.213,0.298,0.37799999999999995,0.271,0.479,0.233,0.243,0.348,0.19,,,,110.0,106.0,115.0,0.27,1.35,84.7,0.206,0.355,0.317,,,,,,,,,,,,,,,,,,
2023/08/06,1:37 PM.,BOS,TOR,away,Sunny.,80,657514,3B,1,0,0,0,0,0,0,0,1,0,0,.221,.298,.305,.603,657514,brennanbernardino,Bernardino,Left,Brennan Bernardino,BOS,3.2,4.07,50.2,96.0,88.0,90.0,0.773,10.3,3.2,8.53,0.71,1.86,0.254,0.343,0.149,0.321,0.457,34.0,68.0,70.0,101.0,93.0,93.0,,,,79.0,100.0,88.0,,,,0.559,,,0.427,0.014,,,1.73,-0.78,-13.88,,,82.4,90.8,77.6,0.252,0.362,0.185,0.5,2.0,0.0,0.238,0.349,0.35100000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/05,4:11 PM.,BOS,TOR,away,Partly Cloudy.,80,670167,2B,0,0,0,0,0,0,0,0,1,0,0,.222,.296,.307,.603,670167,johnschreiber,Schreiber,Right,John Schreiber,BOS,3.86,4.13,46.2,102.0,111.0,104.0,0.76,10.22,4.82,7.91,1.16,1.09,0.328,0.336,0.18,0.344,0.415,71.0,104.0,109.0,,,,109.0,106.0,99.0,106.0,102.0,96.0,,,,0.253,0.289,0.001,,0.082,-0.15,7.1,0.39,,-0.09,93.2,90.0,88.1,92.7,,0.278,0.519,0.20600000000000002,0.167,0.25,0.34600000000000003,,,,0.264,0.377,0.252,,,,125.0,99.0,111.0,0.375,-0.19,80.9,0.185,0.333,0.25,,,,,,,,,,,,,,,,,,
